slug,errM,test,subject,relation,direction,anchor,surfaces,quote,text,clicks_28d,impressions_28d
"murlock-heights-milton","1863","T1 downtown","polygon:Ford","anchor-compass","north","the older core","hero ld-place sec:about","north of the older core","Murlock Heights is a residential street in Milton's Ford area, a pocket of the town that sits west of the escarpment line and north of the older core.","0","1"
"belmore-court-milton","1863","T1 downtown","polygon:Ford","anchor-compass","north","the older settlement grid","hero ld-place sec:about","north of the older settlement grid","Belmore Court is a short residential court in Milton's Ford area, a pocket of the town that sits west of the commercial spine and north of the older settlement grid.","0","0"
"lloyd-landing-milton","1863","T1 downtown","polygon:Ford","anchor-compass","north","the older grid","ld-place","north of the older grid","Lloyd Landing is a short residential street in Milton's Ford area, a pocket of the town that sits west of the commercial spine and north of the older grid.","0","2"
"doran-crescent-milton","1863","T1 downtown","polygon:Ford","anchor-compass","north","the older grid","hero ld-place sec:about","north of the older grid","Doran Crescent is a quiet residential curve in Milton's Ford neighbourhood, a pocket of the town that sits west of the commercial spine and north of the older grid.","0","1"
"chilver-heights-milton","1863","T1 downtown","polygon:Ford","anchor-compass","north","the older settlement core","hero ld-place sec:about","north of the older settlement core","Chilver Heights is a residential street in Milton's Ford neighbourhood, a pocket of the town that sits west of the commercial spine and north of the older settlement core.","0","45"
"dinsmore-drive-milton","1801","T1 town","street","town-compass","west","Milton","sec:gettingAround","a street this far west in Milton","For a street this far west in Milton, the highway and the station are the two facts that shape most trips.","0","0"
"huffman-crescent-milton","1764","T1 town","street","town-compass","west","Milton","sec:about","it sits in the western half of Milton","For a reader trying to place Huffman Crescent in the broader town, it sits in the western half of Milton, closer to the James Snow Parkway corridor than to the older downtown core.","1","9"
"peacock-lane-milton","1726","T1 town","street","town-compass","west","Milton","sec:gettingAround","a street this far west in Milton","For a street this far west in Milton, the highway geometry is unusually direct: no crossing town, no backtracking.","0","0"
"pratt-heights-milton","1723","T1 town","polygon:Ford","town-compass","north","Milton","hero ld-place sec:about","a residential enclave in the town's northern reaches","Pratt Heights sits in Milton's Ford neighbourhood, a residential enclave in the town's northern reaches.","0","1"
"holbrook-court-milton","1723","T1 town","polygon:Ford","town-compass","north","Milton","hero ld-place sec:about","a residential pocket in the town's north end","Holbrook Court is a quiet cul-de-sac in Milton's Ford neighbourhood, a residential pocket in the town's north end.","0","0"
"english-mill-court-milton","1723","T1 town","polygon:Ford","town-compass","north","Milton","hero ld-place sec:about","a residential pocket in the town's northern reaches","English Mill Court is a quiet cul-de-sac in Milton's Ford neighbourhood, a residential pocket in the town's northern reaches.","0","1"
"ramsey-place-milton","1723","T1 town","polygon:Ford","town-compass","north","Milton","hero ld-place","a residential pocket in the city's north end","Ramsey Place is a quiet cul-de-sac in Milton's Ford neighbourhood, a residential pocket in the city's north end.","0","0"
"stewart-crescent-milton","1696","T1 downtown","polygon:Beaty","anchor-compass","west","the town's historic core","hero ld-place sec:about","sits west of the town's historic core","Stewart Crescent is a residential street in the Beaty area of Milton, a pocket that sits west of the town's historic core and north of the Derry Road corridor.","0","0"
"sauve-street-milton","1696","T1 downtown","polygon:Beaty","anchor-compass","west","the older core","hero ld-place sec:about","took shape as the built area pushed west from the older core","Sauve Street sits in the Beaty district of southwest Milton, a pocket of the town that took shape as the built area pushed west from the older core.","0","4"
"timmer-place-milton","1598","T1 town","street","town-compass","north","Milton","","set in the northern reaches of Milton","Timmer Place is a quiet cul-de-sac in the Willmott neighbourhood, set in the northern reaches of Milton.","0","0"
"zuest-crescent-milton","1589","T1 town","street","town-compass","north","Milton","sec:about","It sits in the northern part of the town","It sits in the northern part of the town, where streets curve gently and mature trees line the sidewalks.","0","8"
"menefy-place-milton","1548","T1 town","street","town-compass","west","Milton","sec:about","it belongs to the newer western half of Milton","For anyone trying to place Menefy Place on the map, it belongs to the newer western half of Milton, closer to the James Snow Parkway interchange than to the historic downtown.","0","0"
"menefy-place-milton","1548","T1 town","street","town-compass","west","Milton","sec:gettingAround","a west-end address","For a west-end address, that is a workable rhythm rather than a punishing one.","0","0"
"hill-street-milton","1538","T1 town","street","town-compass","west","Milton","sec:about","Hill Street belongs to the western residential belt","For anyone mapping Milton, Hill Street belongs to the western residential belt, close enough to the highway for a commute and far enough from it to stay residential in feel.","0","0"
"culcastle-drive-milton","1537","T1 downtown","polygon:Bowes","anchor-compass","west","its older core","hero ld-place sec:about","the western expansion that carried the town past its older core","Culcastle Drive is a residential street in Milton's Bowes neighbourhood, part of the western expansion that carried the town past its older core.","0","0"
"melville-bonus-crescent-milton","1514","T3 road","polygon:Bowes","anchor-compass","north","Derry Road","ld-place","north of the Derry Road line","Melville Bonus Crescent is a short residential crescent in Milton's Bowes area, a pocket of the town that sits west of the James Snow Parkway corridor and north of the Derry Road line.","0","0"
"richardson-way-milton","1514","T3 road","polygon:Bowes","anchor-compass","north","Derry Road","ld-place","north of the Derry Road corridor","Richardson Way is a short residential way in Milton's Bowes area, a pocket of the town that sits west of James Snow Parkway and north of the Derry Road corridor.","1","21"
"sauble-court-milton","1514","T3 road","polygon:Bowes","anchor-compass","north","Derry Road","hero ld-place sec:about","north of the Derry Road corridor","Sauble Court is a short residential court in Milton's Bowes area, a pocket of the town that sits east of the commercial spine and north of the Derry Road corridor.","0","0"
"lemieux-court-milton","1504","T3 road","polygon:Ford","anchor-compass","north","Derry Road","hero ld-place","north of the Derry Road corridor","Lemieux Court is a short residential court in Milton's Ford area, a pocket of the town that sits west of the commercial spine and north of the Derry Road corridor.","0","30"
"fourth-line-milton","1485","T1 town","street","town-compass","west","Milton","hero ld-place sec:about","through Milton's western residential edge","Fourth Line runs north through Milton's western residential edge, holding the line between the Beaty and Bowes neighbourhoods.","2","20"
"pozbou-crescent-milton","1448","T1 town","street","town-compass","north","Milton","sec:about","sits in the northern part of town","The street sits in the northern part of town, within easy reach of major roads and amenities, yet it feels removed from the busier through-routes.","0","13"
"culcastle-drive-milton","1375","T1 town","street","town-compass","west","Milton","sec:about","a street pattern common to Milton's newer west-end subdivisions","It sits among curving residential roads that meet collector streets rather than a rigid grid, a street pattern common to Milton's newer west-end subdivisions.","0","0"
"ferguson-drive-milton","1255","T1 town","street","town-compass","west","Milton","hero ld-place sec:about","sits in Milton's western reach","Ferguson Drive sits in Milton's western reach, where the Bowes and Beaty neighbourhoods meet.","0","0"
"harris-boulevard-milton","1227","T3 road","polygon:Dempsey","anchor-compass","south","Derry Road","hero ld-place sec:about","fills the grid south of Derry Road","Harris Boulevard is a residential street in Milton's Dempsey district, a pocket of the town that fills the grid south of Derry Road and east of the escarpment lands.","0","2"
"meighen-way-milton","1115","T1 town","street","town-compass","west","Milton","sec:gettingAround","a street this far west in Milton","For a street this far west in Milton, the highway and the station are the two anchors, and both are close.","0","0"
"gordon-heights-milton","1074","T1 town","street","town-compass","west","Milton","sec:about","It is close to the western edge of the town","It is close to the western edge of the town, with the surrounding landscape giving way to open fields and newer developments.","0","3"
"trudeau-drive-milton","1067","T1 town","street","town-compass","west","Milton","sec:gettingAround","a street this far west in Milton","For a street this far west in Milton, the highway relationship is the one that shapes the day-to-day.","0","3"
"hemlock-drive-milton","915","T1 town","street","town-compass","south","Milton","hero ld-place","sitting within the town's established southern grid","Hemlock Drive is a residential street in Milton's Dorset Park area, sitting within the town's established southern grid.","0","0"
"blinco-terrace-milton","886","T1 town","street","town-compass","west","Milton","hero ld-place sec:about","near the western edge of the town","Blinco Terrace is a quiet, short residential street in Milton's Clarke neighbourhood, near the western edge of the town.","0","0"
"riddell-crescent-milton","880","T1 town","street","town-compass","west","Milton","sec:about","It sits within a pocket of west Milton","It sits within a pocket of west Milton where the street pattern turns inward, and the addresses along it are almost entirely townhouse in form.","0","6"
"wickson-way-milton","872","T1 town","street","town-compass","west","Milton","sec:gettingAround","a street this far west in Milton","For a street this far west in Milton, the highway and the station are the two facts that shape most of the getting-around.","0","1"
"moorelands-crescent-milton","849","T1 downtown","street","anchor-compass","west","the town's older core","sec:about","It sits west of the town's older core","It sits west of the town's older core, in a pocket where the street pattern bends around parkland rather than running straight through.","0","32"
"detlor-heights-milton","795","T1 downtown","polygon:Walker","anchor-compass","northwest","its older core","","filled in steadily as Milton has grown westward and northward from its older core","Detlor Heights is a residential street in Milton's Walker neighbourhood, a pocket of the town that has filled in steadily as Milton has grown westward and northward from its older core.","0","0"
"labine-point-milton","782","T1 town","polygon:Cobban","town-compass","northwest","Milton","hero ld-place sec:about","a residential pocket in the town's northwest","Labine Point is a quiet cul-de-sac in Milton's Cobban neighbourhood, a residential pocket in the town's northwest.","0","0"
"dawson-crescent-milton","730","T1 downtown","street","anchor-compass","north","the town's historic core","hero ld-place sec:about","just north of the town's historic core","Dawson Crescent is a quiet residential loop in the Old Milton neighbourhood, just north of the town's historic core.","0","18"
"john-street-milton","370","T3 road","street","anchor-compass","north","Main Street","sec:about","The street sits just north of Main Street","The street sits just north of Main Street, within walking distance of Milton's historic downtown core.","0","3"
"victoria-street-milton","195","T3 road","street","anchor-compass","south","Main Street","sec:about","connects Main Street to the north","It is a quiet, tree-lined residential corridor that connects Main Street to the north with the escarpment edge to the south.","0","3"
"bronson-terrace-milton","-2330","T1 town","polygon:Ford","town-compass","west","Milton","","has filled in steadily as Milton has grown westward and northward","Bronson Terrace is a short residential street in Milton's Ford area, a pocket of the town that has filled in steadily as Milton has grown westward and northward.","0","5"
"detlor-heights-milton","-2678","T1 downtown","polygon:Walker","anchor-compass","west","its older core","","has filled in steadily as Milton has grown westward and northward from its older core","Detlor Heights is a residential street in Milton's Walker neighbourhood, a pocket of the town that has filled in steadily as Milton has grown westward and northward from its older core.","0","0"
