verdict,slug,errM,test,subject,relation,direction,anchorKind,anchorName,negated,hedged,surfaces,quote,text
"no-geometry","menefy-place-milton","","","","anchor-compass","north","road","the main east-west corridors","false","false","hero ld-place sec:about","north of the main east-west corridors","Menefy Place is a short residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"WRONG","menefy-place-milton","1548","T1 town","street","town-compass","west","town","Milton","false","false","sec:about","it belongs to the newer western half of Milton","For anyone trying to place Menefy Place on the map, it belongs to the newer western half of Milton, closer to the James Snow Parkway interchange than to the historic downtown."
"not-checkable","menefy-place-milton","","","","proximity","none","road","James Snow Parkway interchange","false","false","sec:about","closer to the James Snow Parkway interchange than to the historic downtown","For anyone trying to place Menefy Place on the map, it belongs to the newer western half of Milton, closer to the James Snow Parkway interchange than to the historic downtown."
"WRONG","menefy-place-milton","1548","T1 town","street","town-compass","west","town","Milton","false","false","sec:gettingAround","a west-end address","For a west-end address, that is a workable rhythm rather than a punishing one."
"WRONG","stewart-crescent-milton","1696","T1 downtown","polygon:Beaty","anchor-compass","west","downtown","the town's historic core","false","false","hero ld-place sec:about","sits west of the town's historic core","Stewart Crescent is a residential street in the Beaty area of Milton, a pocket that sits west of the town's historic core and north of the Derry Road corridor."
"not-refuted","stewart-crescent-milton","-8","T3 road","polygon:Beaty","anchor-compass","north","road","Derry Road","false","false","hero ld-place sec:about","north of the Derry Road corridor","Stewart Crescent is a residential street in the Beaty area of Milton, a pocket that sits west of the town's historic core and north of the Derry Road corridor."
"not-refuted","stewart-crescent-milton","-3125","T1 town","polygon:Beaty","town-compass","south","town","Milton","false","false","sec:market","Beaty, a subdivision of Milton's south end","What the street does have is a clear position within Beaty, a subdivision of Milton's south end where the surrounding housing stock runs from townhome rows to detached homes on wider lots."
"no-geometry","temperance-crescent-milton","","","","anchor-compass","west","road","the main north-south arteries","false","false","hero ld-place sec:about","sits west of the main north-south arteries","Temperance Crescent is a residential crescent in Milton's Bowes area, a pocket of the town that sits west of the main north-south arteries and east of the open ground that marks Milton's western edge."
"not-checkable","temperance-crescent-milton","","","","anchor-compass","east","other","the open ground that marks Milton's western edge","false","false","hero ld-place sec:about","east of the open ground that marks Milton's western edge","Temperance Crescent is a residential crescent in Milton's Bowes area, a pocket of the town that sits west of the main north-south arteries and east of the open ground that marks Milton's western edge."
"not-refuted","boland-crescent-milton","-24395","T1 town","polygon:Nassagaweya","town-compass","west","town","Milton","false","false","hero ld-place sec:about","the village-scale community at the western edge of Milton","Boland Crescent is a residential crescent in Campbellville, the village-scale community at the western edge of Milton."
"not-checkable","boland-crescent-milton","","","","anchor-compass","north","escarpment","the Niagara Escarpment","false","false","sec:about","the Niagara Escarpment landform defining the horizon to the south","Campbellville anchors the immediate surroundings: a small settlement core, open country close by, and the Niagara Escarpment landform defining the horizon to the south."
"not-checkable","boland-crescent-milton","","","","anchor-compass","west","built-up-area","the denser subdivision forms found further east in Milton","false","false","sec:homes","rather than the denser subdivision forms found further east in Milton","What the street holds is a small collection of low-rise residential addresses in the Campbellville pocket, consistent with the village's established scale rather than the denser subdivision forms found further east in Milton."
"not-checkable","3-side-road-milton","","","","anchor-compass","east","escarpment","Niagara Escarpment country","false","false","sec:about","framed by the Niagara Escarpment country to the west","The street runs through a pocket where the grid loosens and the lots spread out, framed by the Niagara Escarpment country to the west and the built-up town to the east."
"not-checkable","3-side-road-milton","","","","anchor-compass","west","built-up-area","the built-up town","false","false","sec:about","the built-up town to the east","The street runs through a pocket where the grid loosens and the lots spread out, framed by the Niagara Escarpment country to the west and the built-up town to the east."
"not-checkable","3-side-road-milton","","","","edge-of-town","none","town","Milton","false","false","sec:about","the town's edge on the other","What frames the street is open country on one side and the town's edge on the other."
"not-refuted","vanier-drive-milton","-1715","T1 town","polygon:Bronte Meadows","town-compass","northwest","town","Milton","false","false","hero ld-place sec:about","a residential pocket in Milton's northwest","Vanier Drive sits in Bronte Meadows, a residential pocket in Milton's northwest."
"not-checkable","middleton-crescent-milton","","","","anchor-compass","west","commercial-corridor","the main commercial spine","false","false","hero ld-place sec:about","sits west of the main commercial spine","Middleton Crescent is a short residential crescent in Milton's Timberlea neighbourhood, a pocket of the town that sits west of the main commercial spine and north of the older village core."
"not-refuted","middleton-crescent-milton","-1618","T1 downtown","polygon:Timberlea","anchor-compass","north","downtown","the older village core","false","false","hero ld-place sec:about","north of the older village core","Middleton Crescent is a short residential crescent in Milton's Timberlea neighbourhood, a pocket of the town that sits west of the main commercial spine and north of the older village core."
"not-checkable","middleton-crescent-milton","","","","other-position","none","downtown","the town's historic centre and the newer growth","false","false","sec:about","positioned between the town's historic centre and the newer growth pushing north and west","Timberlea itself is an established part of Milton, positioned between the town's historic centre and the newer growth pushing north and west."
"not-checkable","boughton-crescent-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Boughton Crescent is a residential crescent in Milton's Coates neighbourhood, a pocket of the town that sits west of the escarpment and north of the older downtown grid."
"MISPLACED","boughton-crescent-milton","-314","T1 downtown","polygon:Coates","anchor-compass","north","downtown","the older downtown grid","false","false","hero ld-place sec:about","north of the older downtown grid","Boughton Crescent is a residential crescent in Milton's Coates neighbourhood, a pocket of the town that sits west of the escarpment and north of the older downtown grid."
"not-refuted","cunningham-court-milton","-24395","T1 town","polygon:Nassagaweya","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a pocket at the rural western edge of town","Cunningham Court is a short residential court in Milton's Moffat area, a pocket at the rural western edge of town where the street grid thins into country roads and open land."
"not-refuted","cunningham-court-milton","-24395","T1 town","polygon:Nassagaweya","town-compass","west","town","Milton","false","false","sec:market","a rural-residential pocket on Milton's western edge","The street sits within Moffat, a rural-residential pocket on Milton's western edge, and its housing form is consistent with that setting rather than with the denser subdivision streets closer to town."
"no-geometry","cunningham-court-milton","","","","proximity","none","town","Milton","false","false","sec:market","the denser subdivision streets closer to town","The street sits within Moffat, a rural-residential pocket on Milton's western edge, and its housing form is consistent with that setting rather than with the denser subdivision streets closer to town."
"not-checkable","cunningham-court-milton","","","","anchor-compass","north","built-up-area","Milton's built-up edge","false","false","sec:gettingAround","a rural pocket north of Milton's built-up edge","Cunningham Court sits in Moffat, a rural pocket north of Milton's built-up edge, and that position shapes every commute from the street."
"not-checkable","cunningham-court-milton","","","","anchor-compass","north","built-up-area","Milton's main growth areas","false","false","faq","a rural community north of Milton's main growth areas","The street sits in Moffat, a rural community north of Milton's main growth areas, which places it well outside the newer subdivision belts."
"not-checkable","cunningham-court-milton","","","","other-position","none","built-up-area","the newer subdivision belts","false","false","faq","places it well outside the newer subdivision belts","The street sits in Moffat, a rural community north of Milton's main growth areas, which places it well outside the newer subdivision belts."
"not-refuted","malick-street-milton","-1757","T1 town","polygon:Timberlea","town-compass","north","town","Milton","false","false","hero ld-place sec:about","a residential pocket in the town's north end","Malick Street sits in the Timberlea neighbourhood of Milton, a residential pocket in the town's north end."
"not-checkable","malick-street-milton","","","","anchor-compass","east","water/park","Sam Sherratt Trail Park","false","false","sec:about","framed by the Sam Sherratt Trail Park to the west","It is framed by the Sam Sherratt Trail Park to the west and the Timberlea Trail to the east, giving the area a green, walkable character."
"not-checkable","malick-street-milton","","","","anchor-compass","west","water/park","Timberlea Trail","false","false","sec:about","the Timberlea Trail to the east","It is framed by the Sam Sherratt Trail Park to the west and the Timberlea Trail to the east, giving the area a green, walkable character."
"not-refuted","hop-place-milton","-4832","T1 town","polygon:Cobban","town-compass","south","town","Milton","false","false","hero ld-place sec:about","a neighbourhood in Milton's south end","Hop Place is a short residential street in Cobban, a neighbourhood in Milton's south end."
"no-geometry","hop-place-milton","","","","town-compass","south","town","Milton","false","false","sec:about","the wider south-Milton grid","Hop Place occupies a small pocket within that build, and its position puts the wider south-Milton grid within easy reach by car."
"WRONG","fennamore-terrace-milton","1954","T1 downtown","polygon:Harrison","anchor-compass","north","downtown","the commercial core","false","false","hero ld-place sec:about","sits north of the commercial core","Fennamore Terrace is a short residential street in Milton's Harrison area, a pocket of the town that sits north of the commercial core and west of the older grid streets closer to downtown."
"not-refuted","fennamore-terrace-milton","-2531","T1 downtown","polygon:Harrison","anchor-compass","west","downtown","the older grid streets closer to downtown","false","false","hero ld-place sec:about","west of the older grid streets closer to downtown","Fennamore Terrace is a short residential street in Milton's Harrison area, a pocket of the town that sits north of the commercial core and west of the older grid streets closer to downtown."
"not-refuted","wakefield-road-milton","-1397","T4 proximity (downtown)","polygon:Old Milton","proximity","none","downtown","the historic core of the town","false","false","hero ld-place sec:about","Old Milton, the historic core of the town","Wakefield Road is a residential street in Old Milton, the historic core of the town, where the grid tightens and the streets run short."
"not-refuted","farrell-court-milton","-2039","T3 road","polygon:Bowes","anchor-compass","west","road","James Snow Parkway","false","false","ld-place","sits west of the James Snow Parkway corridor","Farrell Court is a short residential court in Milton's Bowes area, a pocket of the town that sits west of the James Snow Parkway corridor and north of the main east-west arteries."
"no-geometry","farrell-court-milton","","","","anchor-compass","north","road","the main east-west arteries","false","false","ld-place","north of the main east-west arteries","Farrell Court is a short residential court in Milton's Bowes area, a pocket of the town that sits west of the James Snow Parkway corridor and north of the main east-west arteries."
"not-refuted","mcfarland-court-milton","-22086","T1 town","polygon:Nassagaweya","town-compass","north","town","Milton","false","false","sec:gettingAround","a rural pocket at the north end of Milton","McFarland Court sits in Brookville / Haltonville, a rural pocket at the north end of Milton where distances stretch and the car does most of the work."
"not-refuted","mae-court-milton","-24395","T1 town","polygon:Nassagaweya","town-compass","west","town","Milton","false","false","hero ld-place sec:about","the hamlet at Milton's western edge","Mae Court is a quiet cul-de-sac in Campbellville, the hamlet at Milton's western edge."
"negated-not-judged","mae-court-milton","","","","proximity","none","downtown","Milton's core","true","true","sec:differentPriorities","the convenience of being closer to Milton's core","The choice comes down to whether the quiet, spread-out setting outweighs the convenience of being closer to Milton's core."
"not-checkable","howden-crescent-milton","","","","anchor-compass","south","escarpment","the escarpment","false","false","hero ld-place sec:about","sits south of the escarpment","Howden Crescent is a residential crescent in Milton's Coates neighbourhood, a pocket of the town that sits south of the escarpment and west of the town's older core."
"MISPLACED","howden-crescent-milton","315","T1 downtown","polygon:Coates","anchor-compass","west","downtown","the town's older core","false","false","hero ld-place sec:about","west of the town's older core","Howden Crescent is a residential crescent in Milton's Coates neighbourhood, a pocket of the town that sits south of the escarpment and west of the town's older core."
"not-checkable","mcphail-way-milton","","","","anchor-compass","west","built-up-area","the main urban grid","false","false","hero ld-place sec:about","a pocket that sits west of the main urban grid","McPhail Way is a short residential way in the Brookville/Haltonville area of Milton, a pocket that sits west of the main urban grid and carries a distinctly rural-adjacent character."
"not-refuted","waters-boulevard-milton","-3179","T1 downtown","polygon:Dempsey","anchor-compass","north","downtown","the downtown core","false","false","hero ld-place sec:about","sits north of the downtown core","Waters Boulevard is a residential street in Milton's Dempsey district, a pocket of the town that sits north of the downtown core and east of the escarpment line."
"not-checkable","waters-boulevard-milton","","","","anchor-compass","east","escarpment","the escarpment line","false","false","hero ld-place sec:about","east of the escarpment line","Waters Boulevard is a residential street in Milton's Dempsey district, a pocket of the town that sits north of the downtown core and east of the escarpment line."
"not-refuted","caves-court-milton","-1308","T4 proximity (central)","street","proximity","none","downtown","central Milton","false","false","sec:about","close to the everyday infrastructure of central Milton","The street's position puts it close to the everyday infrastructure of central Milton without sitting on any of the arterial roads that carry it."
"negated-not-judged","caves-court-milton","","","","other-position","none","road","the arterial roads","true","false","sec:about","without sitting on any of the arterial roads that carry it","The street's position puts it close to the everyday infrastructure of central Milton without sitting on any of the arterial roads that carry it."
"not-checkable","wheelihan-way-milton","","","","anchor-compass","north","escarpment","the Niagara Escarpment","false","false","faq","a long-established hamlet north of the Niagara Escarpment","Wheelihan Way sits within Campbellville, a long-established hamlet north of the Niagara Escarpment rather than an active new-build subdivision."
"not-checkable","slingsby-landing-milton","","","","anchor-compass","west","commercial-corridor","the commercial spine","false","false","hero ld-place sec:about","sits west of the commercial spine","Slingsby Landing is a short residential street in Milton's Harrison area, a pocket of the town that sits west of the commercial spine and north of the older grid."
"WRONG","slingsby-landing-milton","1954","T1 downtown","polygon:Harrison","anchor-compass","north","downtown","the older grid","false","false","hero ld-place sec:about","north of the older grid","Slingsby Landing is a short residential street in Milton's Harrison area, a pocket of the town that sits west of the commercial spine and north of the older grid."
"not-checkable","fasken-court-milton","","","","anchor-compass","east","escarpment","the escarpment","false","false","hero ld-place","sits east of the escarpment","Fasken Court is a short residential court in Milton's Clarke neighbourhood, a pocket of the town that sits east of the escarpment and north of the older downtown grid."
"MISPLACED","fasken-court-milton","-2316","T1 downtown","polygon:Clarke","anchor-compass","north","downtown","the older downtown grid","false","false","hero ld-place","north of the older downtown grid","Fasken Court is a short residential court in Milton's Clarke neighbourhood, a pocket of the town that sits east of the escarpment and north of the older downtown grid."
"not-checkable","mcphedran-point-milton","","","","anchor-compass","west","commercial-corridor","the main commercial corridors","false","false","hero ld-place sec:about","sits west of the main commercial corridors","McPhedran Point is a short residential street in Milton's Ford area, a pocket of the town that sits west of the main commercial corridors and south of the escarpment lands."
"not-checkable","mcphedran-point-milton","","","","anchor-compass","south","escarpment","the escarpment lands","false","false","hero ld-place sec:about","south of the escarpment lands","McPhedran Point is a short residential street in Milton's Ford area, a pocket of the town that sits west of the main commercial corridors and south of the escarpment lands."
"not-checkable","mcphedran-point-milton","","","","proximity","none","downtown","Milton's core amenities","false","false","sec:about","within reach of Milton's core amenities","The street's position puts it within reach of Milton's core amenities without placing it on a through-route."
"negated-not-judged","mcphedran-point-milton","","","","other-position","none","road","a through-route","true","false","sec:about","without placing it on a through-route","The street's position puts it within reach of Milton's core amenities without placing it on a through-route."
"not-checkable","cartmer-way-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Cartmer Way is a short residential way in Milton's Dempsey neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
"no-geometry","cartmer-way-milton","","","","anchor-compass","north","road","the main east-west corridors","false","false","hero ld-place sec:about","north of the main east-west corridors","Cartmer Way is a short residential way in Milton's Dempsey neighbourhood, a pocket of the town that sits west of the escarpment and north of the main east-west corridors."
