slug,type,claim_field,claim,refuter
"alexander-crescent-milton","OTHER","faq","The street's housing stock is not broken down by type in the available data, so a precise mix cannot be given.","heroStats ""Housing mix"" = ""Detached"""
"victoria-street-milton","T10-activity-vs-displayed-zero","faq","Recent rental activity shows a mix of unfurnished units, suggesting a market oriented toward long-term tenants.","glance Leases = ""0"" (detail ""closed · last 12 months""); heroStats Transactions tracked = ""0"" (sub ""no closed deals · last 12 months""); Active right now = ""0"" (live listings · today); listings []"
"maddocks-trail-milton","T3-sales-absence-vs-count","faq","Maddocks Trail has no recent recorded sales, so a street-level pace cannot be given.","glance tile ""Activity"" value ""2"", detail ""sales · last 90 days""; glance ""Sales tracked"" value ""2"", detail ""last 12 months""; pillRows sales Detached count 2 (· last 12 months); the page's own meta template lead ""2 sales in the last 12 months on record"""
"kennedy-circle-milton","T6-terminus","hero/place-description","Kennedy Circle is a residential loop set in Milton's western growth corridor, where the Cobban, Beaty, and Coates neighbourhoods meet.","roadFacts terminus: {""key"":""terminus"",""label"":""Terminus"",""value"":""Cul-de-sac""}"
"kennedy-circle-milton","T6-terminus","meta-generated-tail","Kennedy Circle is a residential loop set in Milton's western.","roadFacts terminus: {""key"":""terminus"",""label"":""Terminus"",""value"":""Cul-de-sac""}"
"dymott-avenue-milton","T9-price-or-rent-vs-data","faq","The broader Harrison area sees a mix of detached and townhouse rentals, though specific figures aren't available at the street level.","pillRows leases (window ""· last ~2 years""): {type: ""Lease"", count: 5, price: ""$3,450 typical / mo"", silent: false}"
"valleyview-crescent-milton","OTHER","faq","The street carries no recorded type breakdown in the current data, so a specific mix cannot be stated with confidence.","heroStats {label: ""Housing mix"", value: ""Detached"", silent: false}"
"cargill-path-milton","T5-neighbourhood","faq","Caverhill Crescent, also in Clarke, carries detached homes around the same figure, which changes the priority from low-maintenance ownership to a larger footprint.","streetFacts Neighbourhood = ""Coates""; eyebrow ""Street Profile · Coates · Milton, ON""; the same page's FAQ: ""a pace that runs slightly quicker than the Coates area as a whole"""
"parent-place-milton","OTHER","hero/place-description","Parent Place is a quiet, short residential loop in Milton's Ford neighbourhood, set within a mature part of town where streets curve gently and mature trees line the sidewalks.","FAQ ""What kinds of homes are on Parent Place?"": ""...the housing stock reflects the Ford neighbourhood's newer subdivision character."""
"sweetfern-crescent-milton","OTHER","faq","Rental activity on the street is limited, with recent leasing volume matching sales.","glance: ""Sales tracked"" = ""3"" (detail ""last 12 months"") and ""Leases"" = ""1"" (detail ""closed · last 12 months""); pillRows sales · last 12 months Detached count 3; heroStats ""Transactions tracked"" = ""4"" (sales + leases · last 12 months); glance ""Activity"" = ""3"" (sales · last 90 days)"
"aird-court-milton","T2-exclusivity-vs-data","faq","There are no detached homes on the street, which shapes both the price band and the streetscape.","dataIsland.listings: {""address"": ""85 Aird Court, Milton, ON L9T 8B6"", ""propertyType"": ""detached""} (Active right now: 2, live listings · today)"
"main-street-milton","OTHER","faq","Townhouses account for eight, and detached homes are rare at three. The condo segment sets the tone for pricing and turnover.","dataIsland.pillRows[sales, · last 12 months]: {""type"":""Detached"",""count"":4}, next to Townhouse count 8 and Condo count 54 (4+8+54 = 66 = glance ""Sales tracked"" 66, last 12 months)"
"centennial-forest-drive-milton","OTHER","faq","The street holds a mix of condos and detached homes, with condos slightly more common in recent activity.","pillRows sales · last 12 months: Detached count 6, Condo count 5; glance ""Detached sold"" $975K across 6 sales · last 12 months, ""Condo sold"" $700K across 5 sales · last 12 months; heroStats Housing mix ""Detached"""
"haws-crescent-milton","T2-exclusivity-vs-data","faq","Semi-detached stock does not register in the current picture. It is a compact, single-type crescent rather than a mixed street.","listings: ""1491 Haws Crescent, Milton, ON L9T 8V1"" propertyType ""semi""; glance ""Active right now"" 1 (live listings · today)"
"houston-drive-milton","T1-housing-type","faq","Houston Drive is a mix of semi-detached and detached homes, with the two forms roughly balanced in recent activity.","glance ""Sales tracked"" = ""2"" (last 12 months) and glance ""Semi sold"" = ""2"" (2 sales · last 12 months); pillRows sales (· last 12 months) show only {type: Semi, count: 2}; heroStats ""Housing mix"" = ""Semi""; all 3 listings have propertyType ""semi"""
"mccuaig-drive-milton","OTHER","faq","Rental activity on the street is limited, with recent leases numbering just one.","glance ""Leases"" = ""2"" (closed · last 12 months); pillRows leases (· last ~2 years) {type: Lease, count: 5, price: ""$3,500 typical / mo""}; heroStats ""Transactions tracked"" = ""4"" (sales + leases · last 12 months) with 2 sales"
"burnhamthorpe-road-milton","OTHER","hero/place-description","This major east-west arterial cuts through Milton's rural Trafalgar area, where expansive properties stretch between Derry Road and Steeles Avenue.","roadFacts ""Road class"" = ""Minor arterial"""
"hearns-place-milton","T1-housing-type","faq","The street carries a mix of detached homes and townhouses, with three of each in the recent record. Neither type dominates.","heroStats ""Housing mix"" = ""Detached""; glance ""Sales tracked"" = ""3"" (last 12 months) and ""Detached sold"" = ""3"" (3 sales · last 12 months); pillRows sales · last 12 months shows only {type: Detached, count: 3}"
"mclaughlin-avenue-milton","T2-exclusivity-vs-data","faq","Townhouses make up the housing stock on McLaughlin Avenue, based on the recent sales activity. The street's mix is entirely townhouse form.","pillRows sales · last 12 months: Detached count 1 (alongside Townhouse 3); glance ""Detached sold"" = ""1"" (1 sale · last 12 months)"
"bessborough-drive-milton","OTHER","faq","Detached homes dominate the recent sales on Bessborough Drive, with a smaller semi-detached contingent rounding out the mix. The detached stock has carried the higher price points; the semis trade at a discount and appear less often.","pillRows sales · last 12 months: Detached count 5 ($1.35M typical), Semi count 5 ($1M typical); glance ""Detached sold"" across 5 sales and ""Semi sold"" across 5 sales · last 12 months; the only active listing (408 Bessborough Drive) is propertyType semi"
"newell-street-milton","T2-exclusivity-vs-data","faq","Newell Street is made up almost entirely of detached homes, with no semi-detached or townhouse stock recorded.","dataIsland.listings: {""address"": ""1268 Newell Street, Milton, ON L9T 6C2"", ""propertyType"": ""semi""} (Active right now: 1, live listings · today)"
"speyer-circle-milton","T2-exclusivity-vs-data","faq","Speyer Circle is a townhouse street, and the townhouse form accounts for the whole of its recent activity. There are no semis in the mix.","dataIsland.listings[1]: {""address"":""670 Speyer Circle, Milton, ON L9T 0Y6"",""propertyType"":""semi""} (one of the 3 cards under ""Active right now"" = 3, live listings · today)"
"pringle-avenue-milton","T2-exclusivity-vs-data","faq","Pringle Avenue is detached throughout. There are no semis and no townhomes in the recent sales record, which gives the street a consistent built form from end to end.","dataIsland.listings: {""address"": ""212 Pringle Avenue, Milton, ON L9T 7A1"", ""propertyType"": ""semi""} (also shown under glance ""Active right now"" = 3, live listings · today)"
"hickory-crescent-milton","T2-exclusivity-vs-data","faq","The street's recorded stock is townhouse, and that is the only type with any recent activity attached to it.","dataIsland.heroStats: {""label"": ""Housing mix"", ""value"": ""Detached""}"
"bowell-crescent-milton","T3-sales-absence-vs-count","faq","The street carries no recorded sale or lease activity, so the type mix cannot be described from transaction data.","heroStats ""Transactions tracked"" value ""1"", sub ""sales + leases · last 12 months"""
"bowell-crescent-milton","T3-sales-absence-vs-count","faq","The street shows no recent sale or lease activity, which is consistent with an established address rather than an active new-build release.","heroStats ""Transactions tracked"" value ""1"", sub ""sales + leases · last 12 months"""
"langholm-street-milton","T9-price-or-rent-vs-data","faq","Rental activity on the street is limited, with recent leases outnumbering sales. Typical rents in the area are not established at the street level given the thin sample.","dataIsland.pillRows leases row (window ""· last ~2 years""): {""type"":""Lease"",""count"":6,""price"":""$3,550 typical / mo"",""silent"":false}"
"rolph-terrace-milton","T9-price-or-rent-vs-data","faq","Q: What is the typical price on Rolph Terrace? A: Treat that as the broader market context rather than a street-specific figure.","heroStats ""Typical price"" = ""$1.3M"", basis ""across 8 sales in the last ~2 years""; streetFacts ""Typical price"" = ""$1.3M · across 8 sales in the last ~2 years""; glance ""Typical sold"" = ""$1.3M"" (detail ""across 8 sales in the last ~2 years"")"
"little-crescent-milton","T3-sales-absence-vs-count","faq","Little Crescent has seen no recorded sales or leases recently, so the mix of home types is not well established from activity alone.","heroStats: label ""Transactions tracked"", value ""1"", sub ""sales + leases · last 12 months"" (also heroStats ""Housing mix"" = ""Detached"")"
"thomas-street-milton","T2 (deterministic)","faq","The street's recorded stock is detached, and that is the only type with sales behind it. No other housing form shows up in the recent activity. The street reads as a small, single-type pocket within Old Milton.","""The street's recorded stock is detached, and that is the only type with sales behind it."" vs data island records semi"
