slug,classes,class2_misplaced_only,served_text_generated,clicks_28d,impressions_28d,clicks_since_generation,impressions_since_generation
"fourth-line-nassagaweya-milton","","false","2026-09-13","0","34","0","30"
"pringle-avenue-milton","1+3","false","2026-09-13","0","34","0","9"
"cabot-trail-milton","1","false","2026-09-22","0","34","0","1"
"marley-crescent-milton","","true","2026-09-13","0","33","0","0"
"megson-terrace-milton","","false","2026-09-13","0","33","0","32"
"holloway-terrace-milton","1","true","2026-09-21","1","33","0","3"
"moorelands-crescent-milton","2","false","2026-09-11","0","32","0","17"
"hinton-terrace-milton","","false","2026-09-13","0","32","0","5"
"maquire-terrace-milton","1","false","2026-09-21","0","32","0","8"
"gleave-terrace-milton","2","false","2026-09-21","1","32","0","1"
"harvest-drive-milton","1","false","2026-09-05","1","32","1","18"
"commercial-street-milton","1","false","2026-09-05","0","32","0","23"
"broadway-avenue-milton","1","false","2026-09-05","1","31","1","28"
"satok-crescent-milton","1","false","2026-09-10","0","31","0","12"
"ruhl-drive-milton","1","false","2026-09-22","0","31","0","2"
"rose-way-milton","1","true","2026-09-11","0","30","0","8"
"lemieux-court-milton","2","false","2026-09-13","0","30","0","26"
"rottenburg-court-milton","1","false","2026-09-21","1","30","0","4"
"bellflower-court-milton","","false","2026-09-21","0","30","0","2"
"attenborough-terrace-milton","1","false","2026-09-04","2","30","2","29"
"sideroad-10-milton","1","false","2026-09-22","2","29","0","0"
"mcduffe-crescent-milton","1","false","2026-09-05","0","29","0","17"
"winter-crescent-milton","1","false","2026-09-05","0","29","0","12"
"mockridge-terrace-milton","","false","2026-09-21","0","29","0","3"
"britannia-road-milton","1","true","2026-09-05","0","28","0","15"
"schreyer-crescent-milton","1+2+3","false","2026-09-13","0","28","0","21"
"dymott-avenue-milton","1+3","false","2026-09-05","0","28","0","21"
"3-side-road-milton","1","false","2026-09-20","1","26","0","3"
"highside-drive-milton","1","false","2026-09-13","0","26","0","13"
"syndenham-lane-milton","1","false","2026-09-05","1","26","1","26"
"buttercup-court-milton","1","false","2026-09-05","1","26","1","26"
"amos-drive-milton","1","false","2026-09-06","0","26","0","6"
"etherington-way-milton","1","false","2026-09-06","0","26","0","13"
"bergamot-avenue-milton","1","false","2026-09-22","0","26","0","0"
"limestone-road-milton","1","false","2026-09-05","0","25","0","13"
"switzer-crescent-milton","1","false","2026-09-19","0","25","0","5"
"suitor-court-milton","","false","2026-09-21","0","25","0","1"
"vickerman-way-milton","1","true","2026-09-13","1","25","1","11"
"hayward-crescent-milton","1","false","2026-09-05","0","24","0","20"
"duignan-crescent-milton","","false","2026-09-13","0","24","0","15"
"ellenton-crescent-milton","1","true","2026-09-05","0","24","0","24"
"leiterman-drive-milton","","false","2026-09-13","1","24","1","6"
"mcnair-circle-milton","1","true","2026-09-13","0","24","0","12"
"chamomile-crescent-milton","1","false","2026-09-16","0","24","0","13"
"babcock-crescent-milton","1","false","2026-09-13","1","23","0","10"
"tight-court-milton","1","false","2026-09-23","0","23","0","0"
"laidlaw-drive-milton","","false","2026-09-13","1","22","0","8"
"field-drive-milton","","false","2026-09-13","0","22","0","5"
"kingsway-place-milton","1","false","2026-09-13","1","22","0","8"
"barclay-circle-milton","","false","2026-09-13","0","22","0","8"
"hutchinson-avenue-milton","1","false","2026-04-21","0","22","0","22"
"dolby-crescent-milton","1","false","2026-09-22","0","22","0","1"
"minto-crescent-milton","","false","2026-09-13","0","21","0","8"
"nassagaweya-esquesing-townline-milton","","false","2026-09-13","1","21","0","11"
"richardson-way-milton","2","false","2026-09-13","1","21","1","21"
"featherstone-road-milton","","true","2026-09-13","0","21","0","9"
"donnelly-street-milton","","false","2026-09-06","0","21","0","13"
"eighth-line-milton","","false","2026-04-22","0","21","0","21"
"bennett-boulevard-milton","1","false","2026-09-06","0","20","0","13"
"agnew-crescent-milton","","false","2026-09-10","0","20","0","20"
"biggar-heights-milton","1","false","2026-09-15","0","20","0","17"
"robertson-crescent-milton","1","true","2026-09-13","1","20","1","17"
"fourth-line-milton","2","false","2026-09-21","2","20","0","1"
"landsborough-avenue-milton","","true","2026-09-10","1","20","0","16"
"old-tremaine-road-milton","1","false","2026-09-16","0","19","0","3"
"gorham-way-milton","","false","2026-09-21","1","19","0","4"
"ambroise-crescent-milton","1","false","2026-09-11","0","19","0","2"
"boland-crescent-milton","1","false","2026-09-20","0","18","0","5"
"williams-avenue-milton","1","false","2026-09-05","0","18","0","12"
"dawson-crescent-milton","1+2","false","2026-07-20","0","18","0","18"
"van-fleet-terrace-milton","","false","2026-09-21","1","18","0","3"
"bonin-crescent-milton","1","true","2026-09-13","0","18","0","14"
"sherwood-road-milton","","false","2026-09-05","0","18","0","11"
"sumac-crescent-milton","1","true","2026-09-06","1","18","0","8"
"barton-street-milton","1","false","2026-09-13","0","17","0","4"
"mcjannett-avenue-milton","1","false","2026-09-13","0","17","0","3"
"five-side-road-milton","1","false","2026-09-21","0","17","0","0"
"muskoka-heights-milton","1+2","false","2026-09-13","0","17","0","7"
"scott-boulevard-milton","1","false","2026-09-13","0","17","0","8"
"copeland-circle-milton","","false","2026-09-23","0","16","0","0"
"nakerville-crescent-milton","1","false","2026-09-05","0","16","0","7"
"murray-meadows-place-milton","","false","2026-09-21","1","16","0","0"
"nipissing-road-milton","1","false","2026-09-05","0","16","0","6"
"oriole-court-milton","1","false","2026-09-05","1","16","1","11"
"argall-court-milton","1","false","2026-09-17","0","15","0","11"
"mae-court-milton","1+3","false","2026-09-05","1","15","0","6"
"bussel-crescent-milton","","false","2026-09-11","0","15","0","12"
"esquesing-line-milton","1","false","2026-09-05","0","14","0","8"
"chapman-crescent-milton","1","false","2026-09-13","1","14","0","12"
"graham-bell-court-milton","1","false","2026-09-14","0","14","0","7"
"potts-terrace-milton","1","false","2026-09-13","1","14","0","5"
"lancaster-boulevard-milton","1","false","2026-09-13","0","14","0","5"
"farlow-crescent-milton","1","false","2026-09-05","1","14","1","14"
"first-line-milton","","true","2026-09-11","0","14","0","8"
"wakefield-road-milton","1","false","2026-09-13","0","13","0","8"
"philbrook-drive-milton","1+3","false","2026-09-03","0","13","0","6"
"pozbou-crescent-milton","1+2","false","2026-09-05","0","13","0","10"
"quinlan-court-milton","1","false","2026-09-13","0","13","0","13"
"wilson-drive-milton","","false","2026-09-13","0","13","0","6"
"henderson-road-milton","","false","2026-09-18","0","13","0","5"
"cedar-hedge-road-milton","1","false","2026-09-13","0","13","0","10"
"nassagaweya-puslinch-townline-milton","","false","2026-09-13","0","13","0","0"
"speyer-circle-milton","1+3","false","2026-09-21","0","13","0","0"
"15-side-road-milton","1","false","2026-09-19","0","12","0","3"
"second-line-nassagaweya-milton","1","false","2026-09-22","0","12","0","0"
"minchin-way-milton","1","false","2026-09-05","0","12","0","11"
"mccuaig-drive-milton","1+3","false","2026-09-03","0","12","0","9"
"hickory-crescent-milton","1+3","true","2026-09-11","0","12","0","6"
"banks-crescent-milton","","false","2026-09-23","1","12","0","0"
"vanier-drive-milton","1","false","2026-09-06","0","11","0","1"
"ridge-drive-milton","1","false","2026-05-10","2","11","2","11"
"cochrane-terrace-milton","1","false","2026-09-05","0","11","0","8"
"black-drive-milton","1","false","2026-06-21","1","11","1","11"
"collis-court-milton","","false","2026-09-06","0","11","0","8"
"miltonbrook-crescent-milton","1","true","2026-09-13","0","11","0","2"
"coombs-court-milton","1","false","2026-09-13","0","10","0","0"
"periwinkle-place-milton","","false","2026-09-12","1","10","0","4"
"cousens-terrace-milton","1","false","2026-09-13","0","10","0","4"
"joyce-boulevard-milton","1","false","2026-09-05","0","10","0","7"
"gollins-drive-milton","1","false","2026-09-05","1","10","1","10"
"beasley-terrace-milton","1","true","2026-09-13","0","10","0","8"
"laurier-avenue-milton","1","false","2026-09-06","1","10","1","7"
"heaven-crescent-milton","1","false","2026-09-04","0","9","0","9"
"tyrone-crescent-milton","1","true","2026-09-23","1","9","0","0"
"huffman-crescent-milton","2","false","2026-09-13","1","9","1","9"
"pettigrew-trail-milton","1","true","2026-09-13","0","9","0","8"
"basswood-crescent-milton","1","true","2026-09-13","0","9","0","7"
"pitfield-road-milton","1","false","2026-09-13","0","9","0","3"
"colville-place-milton","1","true","2026-09-05","0","9","0","9"
"deverell-place-milton","","false","2026-09-13","1","9","1","6"
"no-1-side-road-milton","1","true","2026-09-19","0","9","0","0"
"main-street-milton","3","false","2026-09-21","0","9","0","0"
"mortimer-crescent-milton","2","false","2026-09-22","0","9","0","0"
"heslop-road-milton","1","false","2026-04-22","0","9","0","9"
"stark-circle-milton","1","false","2026-09-05","0","8","0","5"
"trafalgar-road-milton","1","false","2026-09-03","0","8","0","7"
"weston-drive-milton","1","true","2026-09-11","0","8","0","5"
"chandler-crescent-milton","1","false","2026-09-13","0","8","0","3"
"cargill-path-milton","3","false","2026-09-13","0","8","0","4"
"30-side-road-milton","","false","2026-09-20","0","8","0","0"
"wellwood-terrace-milton","1","false","2026-09-11","0","8","0","4"
"patterson-drive-milton","","false","2026-09-13","1","8","1","2"
"zuest-crescent-milton","1+2","false","2026-09-05","0","8","0","5"
"armstrong-boulevard-milton","1","false","2026-09-05","0","7","0","5"
"clover-park-crescent-milton","","false","2026-09-13","0","7","0","1"
"cookman-drive-milton","1","false","2026-09-05","0","7","0","7"
"highway-7-milton","","false","2026-09-13","0","7","0","1"
"10-side-road-milton","1","false","2026-09-19","0","7","0","1"
"sheaffe-place-milton","1","false","2026-09-05","0","7","0","3"
"chee-chee-landing-milton","1","false","2026-09-04","0","7","0","7"
"haws-crescent-milton","1+3","true","2026-09-22","0","7","0","0"
"twinflower-place-milton","1","false","2026-09-05","1","7","1","5"
"thornborrow-court-milton","","false","2026-09-13","2","7","2","4"
"calla-point-milton","1","false","2026-09-05","0","6","0","5"
"magurn-gate-milton","2","false","2026-09-13","1","6","0","3"
"goutouski-crescent-milton","1","false","2026-09-05","0","6","0","2"
"leatherleaf-landing-milton","1","true","2026-09-05","0","6","0","3"
"locker-place-milton","1","false","2026-09-21","0","6","0","0"
"alexander-crescent-milton","1+3","true","2026-09-14","0","6","0","2"
"gervais-terrace-milton","1","false","2026-09-13","0","6","0","2"
"dalhousie-gate-milton","1","false","2026-09-04","0","6","0","6"
"proud-drive-milton","1","false","2026-09-17","0","6","0","1"
"porter-way-milton","","false","2026-09-06","0","6","0","6"
"mcgibbon-drive-milton","1","false","2026-09-05","1","6","1","3"
"mill-street-milton","1","false","2026-09-13","0","6","0","3"
"shortreed-crescent-milton","","false","2026-07-05","0","6","0","6"
"coxe-boulevard-milton","1","false","2026-06-01","0","6","0","6"
"willow-avenue-milton","1","false","2026-09-05","0","6","0","3"
"clarkson-gate-milton","1","false","2026-09-21","0","6","0","0"
"riddell-crescent-milton","1+2","false","2026-09-21","0","6","0","0"
"panton-trail-milton","","false","2026-09-13","0","6","0","1"
"shade-lane-milton","1","true","2026-09-13","0","6","0","6"
"tasker-court-milton","1","true","2026-09-04","0","6","0","5"
"cunningham-court-milton","1","false","2026-09-20","1","5","0","2"
"swann-crescent-milton","1","false","2026-09-20","0","5","0","1"
"devine-point-milton","1","false","2026-09-13","0","5","0","4"
"freeman-trail-milton","","false","2026-09-13","0","5","0","0"
"beaty-trail-milton","","false","2026-09-05","0","5","0","3"
"cooke-crescent-milton","1","false","2026-09-05","0","5","0","5"
"farmstead-drive-milton","1","true","2026-09-21","0","5","0","0"
"symons-crossing-milton","1","false","2026-09-13","0","5","0","0"
"bronson-terrace-milton","1+2","false","2026-09-21","0","5","0","2"
"pine-street-milton","1","false","2026-09-13","0","5","0","2"
"thompson-road-milton","","false","2026-09-03","0","5","0","4"
"clitherow-street-milton","1","true","2026-09-11","0","5","0","5"
"childs-drive-milton","1","false","2026-09-13","0","5","0","0"
"rolph-terrace-milton","3","true","2026-09-11","0","5","0","5"
"giddings-crescent-milton","","true","2026-09-21","0","5","0","0"
"appleby-line-milton","","false","2026-04-21","0","5","0","5"
"mccandless-court-milton","","false","2026-09-22","0","5","0","0"
"howden-crescent-milton","","true","2026-09-12","0","4","0","0"
"mcphedran-point-milton","1","false","2026-09-12","0","4","0","0"
"eves-gate-milton","1","false","2026-09-23","0","4","0","0"
"lower-base-line-milton","1","true","2026-09-04","0","4","0","1"
"connors-landing-milton","","false","2026-09-05","0","4","0","1"
"transom-crescent-milton","1","false","2026-09-13","0","4","0","0"
"bundy-drive-milton","1","false","2026-09-21","0","4","0","1"
"second-line-milton","","false","2026-04-22","0","4","0","4"
"plum-place-milton","1","false","2026-09-13","0","4","0","0"
"cavanagh-lane-milton","","false","2026-09-21","0","4","0","1"
"court-street-milton","1","false","2026-09-03","0","4","0","4"
"conservation-road-milton","1","false","2026-09-13","0","4","0","2"
"miles-street-milton","1","false","2026-09-13","0","4","0","2"
"downes-jackson-heights-milton","1","false","2026-09-05","0","4","0","4"
"thimbleweed-court-milton","1","false","2026-09-06","0","4","0","2"
"milton-heights-crescent-milton","1","false","2026-09-15","0","4","0","1"
"sauve-street-milton","2","false","2026-09-21","0","4","0","4"
"robson-crescent-milton","1","false","2026-09-05","0","4","0","2"
"gordon-krantz-avenue-milton","1","false","2026-09-21","0","4","0","0"
"seivert-place-milton","1","false","2026-07-20","0","4","0","4"
"ollerenshaw-point-milton","1","false","2026-09-16","0","4","0","0"
"mccready-drive-milton","1","true","2026-09-13","0","3","0","1"
"slingsby-landing-milton","1+2","false","2026-09-12","0","3","0","2"
"whitmer-street-milton","","false","2026-09-21","0","3","0","0"
"burgess-garden-milton","","false","2026-09-13","0","3","0","0"
"gordon-heights-milton","1+2","false","2026-09-05","0","3","0","2"
"paupst-place-milton","1","false","2026-09-05","0","3","0","1"
"ashbrook-court-milton","1","false","2026-09-17","0","3","0","1"
"cedar-trail-milton","1","true","2026-09-17","0","3","0","0"
"victoria-street-milton","1+2+3","false","2026-05-27","0","3","0","3"
"davis-lane-milton","1","false","2026-09-06","0","3","0","3"
"random-acres-road-milton","","false","2026-09-13","0","3","0","1"
"hanson-crescent-milton","1","false","2026-09-05","0","3","0","0"
"stoutt-crescent-milton","1","false","2026-09-13","0","3","0","0"
"stover-crescent-milton","1","false","2026-09-13","0","3","0","0"
"clark-boulevard-milton","","false","2026-09-21","0","3","0","0"
"fox-crescent-milton","","true","2026-09-11","0","3","0","1"
"christie-circle-milton","","false","2026-09-05","0","3","0","0"
"stearn-place-milton","1","true","2026-09-05","0","3","0","3"
"reis-place-milton","1","false","2026-09-13","0","3","0","1"
"aird-court-milton","3","false","2026-09-13","0","3","0","0"
"john-street-milton","1+2","false","2026-06-01","0","3","0","3"
"conway-court-milton","1","false","2026-09-05","0","3","0","2"
"queen-street-milton","1","false","2026-09-06","0","3","0","3"
"cedric-terrace-milton","1","false","2026-09-11","0","3","0","0"
"trudeau-drive-milton","1+2","false","2026-09-22","0","3","0","0"
"little-crescent-milton","1+3","false","2026-09-05","0","3","0","0"
"pharo-point-milton","1","false","2026-09-05","0","3","0","0"
"mendelson-heights-milton","1","false","2026-09-12","0","2","0","0"
"snoek-point-milton","","false","2026-09-12","0","2","0","0"
"violet-gate-milton","1","false","2026-09-12","0","2","0","0"
"sugden-terrace-milton","1","true","2026-09-12","1","2","1","2"
"pickersgill-crescent-milton","1","false","2026-09-04","0","2","0","1"
"buckthorn-garden-milton","1","false","2026-09-03","0","2","0","2"
"strawberry-landing-milton","1","true","2026-09-14","0","2","0","0"
"gore-court-milton","1","true","2026-09-21","0","2","0","0"
"elsley-court-milton","1","true","2026-09-21","0","2","0","0"
"harrison-road-milton","1","false","2026-09-13","0","2","0","0"
"harris-boulevard-milton","1+2","false","2026-09-14","0","2","0","2"
"lydia-avenue-milton","1","false","2026-09-18","0","2","0","0"
"mander-place-milton","1","false","2026-09-18","0","2","0","0"
"miller-way-milton","1","false","2026-09-04","0","2","0","0"
"sydney-street-milton","1","false","2026-09-05","0","2","0","0"
"laughren-crescent-milton","1","false","2026-09-05","0","2","0","1"
"lloyd-landing-milton","2","false","2026-09-13","0","2","0","2"
"pettit-trail-milton","1","false","2026-09-05","0","2","0","1"
"14-side-road-milton","","false","2026-09-19","0","2","0","0"
"walnut-landing-milton","1","true","2026-09-19","0","2","0","0"
"mceachern-court-milton","1","false","2026-09-13","0","2","0","0"
"harkin-place-milton","1","false","2026-09-05","0","2","0","0"
"crozier-crescent-milton","1","true","2026-09-20","0","2","0","1"
"zelinsky-crescent-milton","1","false","2026-09-05","0","2","0","2"
"reid-side-road-milton","1","false","2026-09-22","0","2","0","1"
"trafalgar-court-milton","","false","2026-09-05","0","2","0","0"
"fifth-line-milton","1","false","2026-09-21","0","2","0","2"
"moonseed-place-milton","","true","2026-09-11","0","2","0","1"
"diefenbaker-street-milton","1","false","2026-09-21","0","2","0","0"
"bond-head-court-milton","1","false","2026-09-11","0","2","0","1"
"hatt-court-milton","1","true","2026-09-05","0","2","0","2"
"balsam-court-milton","1","false","2026-09-11","0","2","0","2"
"bowell-crescent-milton","1+3","false","2026-09-15","0","2","0","0"
"weller-crossing-milton","","false","2026-09-13","0","2","0","0"
"chambers-place-milton","1","true","2026-09-13","0","2","0","1"
"thames-circle-milton","","true","2026-09-21","0","2","0","0"
"cooper-avenue-milton","1","false","2026-09-06","0","2","0","0"
"hilson-heights-milton","1","true","2026-09-21","0","2","0","0"
"elderberry-crescent-milton","1","true","2026-09-12","0","1","0","0"
"holly-avenue-milton","","false","2026-09-13","0","1","0","0"
"roper-drive-milton","1","false","2026-09-05","0","1","0","1"
"mcphail-way-milton","","false","2026-09-13","0","1","0","0"
"emmett-landing-milton","1","false","2026-09-13","0","1","0","0"
"penson-crescent-milton","","false","2026-09-13","0","1","0","0"
"earl-crescent-milton","1","false","2026-09-13","0","1","0","0"
"hearst-boulevard-milton","1+3","false","2026-09-06","0","1","0","1"
"cranberry-crescent-milton","1","true","2026-09-17","0","1","0","0"
"guelph-junction-road-milton","1","false","2026-09-18","0","1","0","1"
"tock-close-milton","1","false","2026-09-04","0","1","0","1"
"murlock-heights-milton","2","false","2026-09-21","0","1","0","0"
"huntingford-gate-milton","1","false","2026-09-18","0","1","0","0"
"gooding-crescent-milton","1","false","2026-09-05","0","1","0","1"
"beaver-court-milton","1","false","2026-09-13","0","1","0","1"
"maddocks-trail-milton","1+3","true","2026-09-13","1","1","0","0"
"inglis-drive-milton","1","false","2026-09-18","0","1","0","0"
"rowe-terrace-milton","1","false","2026-09-13","0","1","0","0"
"lingen-crescent-milton","","false","2026-09-05","0","1","0","0"
"duncan-lane-milton","","false","2026-09-13","0","1","0","0"
"ellis-crescent-milton","1","false","2026-09-13","0","1","0","1"
"elliott-crescent-milton","","false","2026-09-13","0","1","0","0"
"hazel-way-milton","1","false","2026-09-13","0","1","0","0"
"woodlawn-crescent-milton","","true","2026-09-13","0","1","0","1"
"mclaren-road-milton","1","false","2026-09-05","0","1","0","0"
"gowling-terrace-milton","1","false","2026-09-05","0","1","0","1"
"fitzgerald-crescent-milton","1","true","2026-09-13","0","1","0","0"
"pratt-heights-milton","1+2","false","2026-09-05","0","1","0","0"
"roseheath-drive-milton","1","false","2026-09-05","0","1","0","1"
"sanderson-crescent-milton","1","false","2026-09-05","0","1","0","0"
"rutledge-way-milton","1","false","2026-09-22","0","1","0","0"
"randall-crescent-milton","1","false","2026-09-05","0","1","0","1"
"alder-gate-milton","1","false","2026-09-05","0","1","0","0"
"wickson-way-milton","1+2","false","2026-09-13","0","1","0","1"
"tonelli-lane-milton","1","false","2026-09-05","0","1","0","0"
"haxton-heights-milton","1","false","2026-09-04","0","1","0","1"
"doran-crescent-milton","1+2","false","2026-09-20","0","1","0","1"
"leitch-landing-milton","1","false","2026-09-05","0","1","0","1"
"norris-circle-milton","1+2","false","2026-09-22","0","1","0","0"
"coates-drive-milton","1","false","2026-09-05","0","1","0","1"
"english-mill-court-milton","1+2","false","2026-09-05","0","1","0","1"
"jean-landing-milton","1","false","2026-09-05","0","1","0","1"
"hearns-place-milton","1+3","true","2026-09-21","0","1","0","0"
"storey-drive-milton","1","true","2026-09-21","0","1","0","0"
"anderson-avenue-milton","","false","2026-09-06","0","1","0","1"
"merritt-drive-milton","1","false","2026-09-05","0","1","0","0"
"morley-avenue-milton","1","false","2026-09-05","0","1","0","0"
"dempsey-crescent-milton","1","false","2026-09-05","0","1","0","0"
"pineridge-drive-milton","1","false","2026-09-13","0","1","0","1"
"hawthorne-crescent-milton","1","false","2026-09-13","0","1","0","0"
"beard-drive-milton","","false","2026-09-15","0","1","0","0"
"lobelia-crescent-milton","1","false","2026-09-12","0","1","0","0"
"mcewan-drive-milton","1","false","2026-04-21","0","1","0","1"
"sixth-line-milton","","false","2026-04-21","0","1","0","1"
"sorensen-court-milton","","false","2026-04-22","0","1","0","1"
"tamarack-point-milton","1","false","2026-09-22","0","1","0","0"
"carr-landing-milton","1","false","2026-09-22","0","1","0","0"
"frost-court-milton","","false","2026-04-21","0","1","0","1"
"solomon-court-milton","1","false","2026-09-05","0","1","0","0"
"hinchey-crescent-milton","","false","2026-09-13","0","0","0","0"
"hill-street-milton","1+2","false","2026-09-16","0","0","0","0"
"hadley-woods-terrace-milton","1","true","2026-09-16","0","0","0","0"
"tilt-point-milton","","false","2026-09-20","0","0","0","0"
"bartleman-terrace-milton","","false","2026-09-13","0","0","0","0"
"hasselfeldt-heights-milton","","false","2026-09-12","0","0","0","0"
"manley-lane-milton","","false","2026-09-11","0","0","0","0"
"manitou-way-milton","1+2","false","2026-09-13","0","0","0","0"
"mcneil-drive-milton","","false","2026-09-12","0","0","0","0"
"holland-heights-milton","1","false","2026-09-05","0","0","0","0"
"banting-court-milton","","false","2026-09-20","0","0","0","0"
"poplar-road-milton","1","false","2026-09-16","0","0","0","0"
"wintergreen-place-milton","1","false","2026-09-05","0","0","0","0"
"bishop-court-milton","1+3","false","2026-09-17","0","0","0","0"
"menefy-place-milton","1+2","false","2026-09-12","0","0","0","0"
"stewart-crescent-milton","1+2+3","false","2026-09-13","0","0","0","0"
"temperance-crescent-milton","1","false","2026-09-17","0","0","0","0"
"beacham-court-milton","1","false","2026-09-17","0","0","0","0"
"middleton-crescent-milton","1","false","2026-09-13","0","0","0","0"
"boughton-crescent-milton","1","true","2026-09-20","0","0","0","0"
"malick-street-milton","3","false","2026-09-04","0","0","0","0"
"hop-place-milton","1","false","2026-09-12","0","0","0","0"
"fennamore-terrace-milton","1+2","false","2026-09-13","0","0","0","0"
"septimus-heights-milton","1+2","false","2026-09-06","0","0","0","0"
"farrell-court-milton","","false","2026-09-13","0","0","0","0"
"mcfarland-court-milton","1","false","2026-09-06","0","0","0","0"
"stemman-place-milton","","false","2026-09-13","0","0","0","0"
"waters-boulevard-milton","1","false","2026-09-11","0","0","0","0"
"glenda-jane-drive-milton","1","false","2026-09-05","0","0","0","0"
"caves-court-milton","1","false","2026-09-20","0","0","0","0"
"wheelihan-way-milton","1","false","2026-09-06","0","0","0","0"
"fasken-court-milton","","true","2026-09-13","0","0","0","0"
"cartmer-way-milton","1","false","2026-09-12","0","0","0","0"
"savoline-boulevard-milton","1","false","2026-09-21","0","0","0","0"
"nadalin-heights-milton","","false","2026-09-21","0","0","0","0"
"livingston-road-milton","1","true","2026-09-23","0","0","0","0"
"day-terrace-milton","1","false","2026-09-23","0","0","0","0"
"forbes-terrace-milton","","false","2026-09-13","0","0","0","0"
"lott-crescent-milton","1","false","2026-09-12","0","0","0","0"
"swindale-drive-milton","1","false","2026-09-12","0","0","0","0"
"mcginnis-crescent-milton","1","false","2026-09-13","0","0","0","0"
"carbert-crescent-milton","","false","2026-09-13","0","0","0","0"
"willet-terrace-milton","1+3","false","2026-09-23","0","0","0","0"
"labine-point-milton","1+2+3","false","2026-09-06","0","0","0","0"
"wrigglesworth-crescent-milton","1","false","2026-09-12","0","0","0","0"
"bronte-street-milton","1","false","2026-09-21","0","0","0","0"
"burrows-gate-milton","1","false","2026-09-23","0","0","0","0"
"kendall-drive-milton","1","false","2026-09-13","0","0","0","0"
"guelph-line-milton","1","false","2026-09-05","0","0","0","0"
"secord-court-milton","1","false","2026-09-05","0","0","0","0"
"mountainview-drive-milton","1","false","2026-09-13","0","0","0","0"
"tupper-drive-milton","1","false","2026-09-13","0","0","0","0"
"nelson-court-milton","1","false","2026-09-05","0","0","0","0"
"mcferran-crescent-milton","1","false","2026-09-13","0","0","0","0"
"reece-court-milton","1+2","false","2026-09-21","0","0","0","0"
"thomas-street-milton","1+3","false","2026-09-13","0","0","0","0"
"hemstreet-crescent-milton","","false","2026-09-13","0","0","0","0"
"sprague-place-milton","1","false","2026-09-06","0","0","0","0"
"sprucedale-lane-milton","1","true","2026-09-17","0","0","0","0"
"robarts-drive-milton","1","false","2026-09-19","0","0","0","0"
"toletzka-landing-milton","1","true","2026-09-14","0","0","0","0"
"campbell-avenue-milton","1","false","2026-09-05","0","0","0","0"
"tough-gate-milton","1","false","2026-09-05","0","0","0","0"
"henry-crescent-milton","1","false","2026-09-14","0","0","0","0"
"fleming-drive-milton","1","false","2026-09-14","0","0","0","0"
"hollinrake-crescent-milton","1","true","2026-09-14","0","0","0","0"
